source_lang	source_form	source_ipa	target_form	target_ipa	process	provenance	note	layer
eng	conjure		consurio		substitution	parry1923 p.236 §104	ME/NE; medial dzh > s before u; cf. cwnsheri Dem. Dial. (S. Wales)	historical
eng	dungeon		dwynsiwn		substitution	parry1923 p.236 §104	ME/NE; medial dzh > si	historical
eng	habergeon		habrsiwn		substitution	parry1923 p.236 §104	ME/NE; medial dzh > si	historical
eng	manger		mansier		substitution	parry1923 p.236 §104	ME/NE; medial dzh > si	historical
eng	Roger		Roesier		substitution	parry1923 p.236 §104	ME/NE; medial dzh > si; also Roedgier	historical
eng	sergeant		sarsiant		substitution	parry1923 p.236 §104	ME/NE; medial dzh > si; WS has serdsiant	historical
eng	burgess (ME burgeys)		bwrdais		deletion	parry1923 p.237 §104	ME; dissimilatory loss of s from *bwrdsais; MW bwrdeis	historical
eng	largess		lerdies		deletion	parry1923 p.237 §104	ME; probably for *lerdsies; also lardies	historical
eng	wages		waedys		deletion	parry1923 p.237 §104	ME/NE; probably for *waedsys; cf. waedgys	historical
eng	badges		baedys		deletion	parry1923 p.237 §104	ME/NE; probably for *baedsys; Bod.	historical
eng	commission		comisiwn		substitution	parry1923 p.237 §105	ME/NE; E -si-/-ti- (= sh) > W -si-	historical
eng	devotion		defosiwn		substitution	parry1923 p.237 §105	ME/NE; E -ti- (= sh) > W -si-	historical
eng	nation		nasiwn		substitution	parry1923 p.237 §105	ME/NE; E -ti- (= sh) > W -si-	historical
eng	passion		pasiwn		substitution	parry1923 p.237 §105	ME/NE; E -si- (= sh) > W -si-	historical
eng	pension		pensiwn		substitution	parry1923 p.237 §105	ME/NE; E -si- (= sh) > W -si-	historical
eng	session		sesiwn		substitution	parry1923 p.237 §105	ME/NE; E -si- (= sh) > W -si-	historical
eng	unction		wngsiwn		substitution	parry1923 p.237 §105	ME/NE; E -ti- (= sh) > W -si-	historical
eng	azure		asur		substitution	parry1923 p.237 §106	ME/NE; E zh not reflected in W; W has s	historical
eng	measure		mesur		substitution	parry1923 p.237 §106	ME/NE; E zh not reflected; W has s	historical
eng	tonsure		tonsur		substitution	parry1923 p.237 §106	ME/NE; W has s	historical
eng	pleasure		pleser		substitution	parry1923 p.237 §106	ME/NE; W has s	historical
eng	adventure		antur		none	parry1923 p.238 §107	ME; borrowed before the C17 E change of t+u to tsh	historical
eng	fortune		ffortun		none	parry1923 p.238 §107	ME; borrowed before the C17 E tsh change	historical
eng	nature		natur		none	parry1923 p.238 §107	ME; borrowed before the C17 E tsh change	historical
eng	question		cwestiwn		none	parry1923 p.238 §108	ME; C17 E change of ti to tsh not reflected	historical
eng	picture		pictiwr		none	parry1923 p.238 §108	ME; C17 E change of ti to tsh not reflected	historical
eng	bushel		bwysel		substitution	parry1923 p.238 §109	ME/NE; E medial sh > W si before vowel	historical
eng	dish-meat		dismed		substitution	parry1923 p.238 §109	ME/NE; E medial sh > W s before consonant; Bod.	historical
eng	usher		usier		substitution	parry1923 p.238 §109	ME/NE; E medial sh > W si	historical
eng	washhouse		washws		substitution	parry1923 p.238 §109	ME/NE; E medial sh; N. Wales	historical
eng	worship		wrsip		substitution	parry1923 p.238 §109	ME/NE; sh > s before i; also wrsib	historical
eng	treasure		tryzor		substitution	parry1923 p.238 §110	ME; no z-sound in W, normally s; rare trace of z (Car. Mag.)	historical
eng	palm		palm		none	parry1923 p.238 §111	ME; borrowed with l still retained, before E loss of l before labial (C15)	historical
eng	palmer		palmer		none	parry1923 p.238 §111	ME; l retained before labial	historical
eng	psalm		salm		none	parry1923 p.238 §111	ME; l retained before labial	historical
eng	Malmsey		Malmsai		none	parry1923 p.238 §111	ME; l retained before labial	historical
eng	balk		balc		none	parry1923 p.238 §111	ME; l retained before k	historical
eng	chalk		sialc		none	parry1923 p.238 §111	ME; l retained before k	historical
eng	stalk		ystalkio, stelkian		none	parry1923 p.238 §111	ME; l retained; form in WS	historical
eng	tide		teit		devoicing	parry1923 p.240 §113	ME/NE; E final voiced stop becomes voiceless; still heard in Carns. (N. Wales)	historical
eng	Cupid		Ciwpit		devoicing	parry1923 p.240 §113	ME/NE; E final voiced stop becomes voiceless	historical
eng	ape		ab		substitution	parry1923 p.240 §114	ME; final -p > -b after long vowel in monosyllable	historical
eng	cope		cob		substitution	parry1923 p.240 §114	ME; final -p > -b	historical
eng	hoop (measure)		hobaid		substitution	parry1923 p.240 §114	ME; final -p > -b	historical
eng	grapes		grabs		substitution	parry1923 p.240 §114	ME/NE; final -p > -b	historical
eng	pope		pab		substitution	parry1923 p.240 §114	ME; final -p > -b	historical
eng	pipe		pib		substitution	parry1923 p.240 §114	ME; final -p > -b	historical
eng	shape		siab		substitution	parry1923 p.240 §114	ME; final -p > -b	historical
eng	gossip		gossib		substitution	parry1923 p.240 §114	ME/NE; final -p > -b in polysyllable	historical
eng	wardrobe		gwardrob		substitution	parry1923 p.240 §114	ME/NE; final -p > -b	historical
eng	hyssop		isob		substitution	parry1923 p.240 §114	ME/NE; final -p > -b	historical
eng	sinople		sinobl		substitution	parry1923 p.240 §114	ME; final -pl > -bl	historical
eng	coat		cod		substitution	parry1923 p.241 §114	ME/NE; final -t > -d; also coit, cot	historical
eng	fleet		fflyd		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	groat		grod		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	plate		plad		substitution	parry1923 p.241 §114	ME/NE; final -t > -d; cf. plat	historical
eng	escheat		sied		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	estate		ystad		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	basket		basged		substitution	parry1923 p.241 §114	ME/NE; final -t > -d in polysyllable	historical
eng	bonnet		bwned		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	carpet		carped		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	clicket		cliced		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	conduit		cwndid		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	coverlet		cwrlid		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	doublet		dwbled		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	hermit		ermid		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	velvet		felfed		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	forfeit		fforffed		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	harlot (ME herlot)		herlod		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	pocket		poced		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	prelate		prelad		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	profit		proffid		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	jacket		siaced		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	trumpet		trwmped		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	statute		ystatud		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	scarlet		ysgarlad		substitution	parry1923 p.241 §114	ME/NE; final -t > -d	historical
eng	Talbot		Talbod		substitution	parry1923 p.241 §114	ME; final -t > -d	historical
eng	cloak		clog		substitution	parry1923 p.241 §114	ME; final -c > -g	historical
eng	coop		cwb		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	duke		dug		substitution	parry1923 p.241 §114	ME; final -c > -g	historical
eng	spoke		spogen		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	stake		ystag		substitution	parry1923 p.241 §114	ME; final -c > -g	historical
eng	cassock		casog		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	chronicle		cronigl		substitution	parry1923 p.241 §114	ME/NE; final -cle > -gl; also cronig	historical
eng	vernicle		fernagl		substitution	parry1923 p.241 §114	ME; final -cle > -gl	historical
eng	garlic		garlleg		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	goshawk		gosawg		substitution	parry1923 p.241 §114	ME; final -c > -g	historical
eng	havoc		hafog		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	mattock		matog		substitution	parry1923 p.241 §114	ME/NE; final -c > -g	historical
eng	miracle		miragl		substitution	parry1923 p.241 §114	ME; final -cle > -gl	historical
eng	music		miwsig		substitution	parry1923 p.241 §114	ME/NE; final -c > -g; also musig	historical
eng	pinnacle		pinagl		substitution	parry1923 p.241 §114	ME; final -cle > -gl	historical
eng	tabernacle		tabernagl		substitution	parry1923 p.241 §114	ME/NE; final -cle > -gl	historical
eng	treacle		triagl		substitution	parry1923 p.241 §114	ME; final -cle > -gl	historical
eng	cap		cap		none	parry1923 p.241 §115	ME/NE; final -p kept after short vowel in monosyllable	historical
eng	clap		clap		none	parry1923 p.241 §115	ME/NE; final -p kept after short vowel	historical
eng	knap		cnap		none	parry1923 p.242 §115	ME; final -p kept after short vowel	historical
eng	knot		cnot		none	parry1923 p.242 §115	ME; final -t kept after short vowel	historical
eng	hat		het		none	parry1923 p.242 §115	ME/NE; final -t kept after short vowel	historical
eng	pluck		plwc		none	parry1923 p.242 §115	ME/NE; final -c kept after short vowel	historical
eng	slut		slwt		none	parry1923 p.242 §115	ME/NE; final -t kept after short vowel	historical
eng	fold		ffolt		devoicing	parry1923 p.242 §116	NE; final -ld > -lt; N. Wales (Carns.); BC has ffollt	historical
eng	gild (payment)		gilt		devoicing	parry1923 p.242 §116	ME/NE; final -ld > -lt	historical
eng	gold		golt		devoicing	parry1923 p.242 §116	ME/NE; final -ld > -lt	historical
eng	mould		molt		devoicing	parry1923 p.242 §116	ME/NE; final -ld > -lt	historical
eng	diamond		deiamwnt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	Edmund		Edmwnt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	garland		garlant		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt; also gerlant	historical
eng	ground		grwnt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	Holland		Hwlont		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt; but cf. holand PT	historical
eng	England		Inglont		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	lawn, laund		lawnt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	sand		swnt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	stand		stont		devoicing	parry1923 p.242 §116	NE; final -nd > -nt; N. Wales (Carns.)	historical
eng	lavender		lafant		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	turpentine		twrpant		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	provender		profant		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	pound		punt		devoicing	parry1923 p.242 §116	ME/NE; final -nd > -nt	historical
eng	bayard		baeart		devoicing	parry1923 p.242 §116	ME; final -rd > -rt	historical
eng	baselard		baslart		devoicing	parry1923 p.242 §116	ME; final -rd > -rt	historical
eng	bastard		bastart		devoicing	parry1923 p.242 §116	ME; final -rd > -rt	historical
eng	board		bort		devoicing	parry1923 p.242 §116	ME/NE; final -rd > -rt	historical
eng	cord		cort		devoicing	parry1923 p.242 §116	ME/NE; final -rd > -rt	historical
eng	cupboard		cwpwrt		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt; LGC 95	historical
eng	custard		cwstart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt; colloq. Carns. cwstat (r omitted)	historical
eng	Edward		Edwart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt; colloq. Carns. Edwat	historical
eng	goddard		godart		devoicing	parry1923 p.243 §116	ME; final -rd > -rt	historical
eng	guard		gwart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt	historical
eng	halberd		halbart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt	historical
eng	leopard		llewpart		devoicing	parry1923 p.243 §116	ME; final -rd > -rt	historical
eng	mustard		mwstart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt	historical
eng	reward		rhywart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt	historical
eng	standard		stondart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt	historical
eng	woodward		wdwart		devoicing	parry1923 p.243 §116	ME/NE; final -rd > -rt; also wtwart	historical
eng	Herbert		Herbard		substitution	parry1923 p.243 §117	ME/NE; opposite change, final -rt > -rd	historical
eng	welt (ME walte, welte)		gwald		substitution	parry1923 p.243 §117	ME; final -lt > -ld; cf. gwaldas	historical
eng	rent		rend		substitution	parry1923 p.243 §117	ME/NE; final -nt > -nd	historical
eng	bastard		bastardd		substitution	parry1923 p.243 §118	ME; final -rd > W -rdd (spirant)	historical
eng	board		bwrdd		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd	historical
eng	comfort		cwnffwrd		substitution	parry1923 p.243 §118	ME/NE; final -rt > -rd/-rdd; also conffordd	historical
eng	cupboard		cwpwrdd		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd	historical
eng	murder		mwrddro		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd; cf. mwrdwr, the usual form	historical
eng	mustard		mwstardd		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd; also mwstarth	historical
eng	spikenard		ysbignardd		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd	historical
eng	standard		ystondardd		substitution	parry1923 p.243 §118	ME/NE; final -rd > W -rdd	historical
eng	covert		cyfarth		substitution	parry1923 p.243 §118	NE; final -rt > W -rth; N. Wales (Denbighshire); cf. cwfert	historical
eng	bolt		bollt		substitution	parry1923 p.244 §119	ME/NE; final -lt > W -llt (voiceless unilateral l)	historical
eng	fold		ffollt		substitution	parry1923 p.244 §119	ME/NE; final -ld > W -llt; cf. ffolt	historical
eng	malt		mallt		substitution	parry1923 p.244 §119	ME/NE; final -lt > W -llt	historical
eng	Oswald		Oswallt		substitution	parry1923 p.244 §119	ME/NE; final -ld > W -llt; cf. Croes Oswallt 'Oswestry'	historical
eng	welt		gwalltysu		substitution	parry1923 p.244 §119	ME/NE; final -lt > W -llt, verb 'to welt'	historical
eng	griddle		gradell		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	riddle, sieve		rhidyll		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	mackerel		macrell		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	pool, pit		pwll		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	toll, tax		toll		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	tun, ton		tunnell		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll	historical
eng	trail		traill		substitution	parry1923 p.244 §120	ME/NE; E final -l(l) > W -ll; Bod.	historical
eng	broach		brosio		substitution	parry1923 p.245 §121	ME/NE; E final -ch (tsh) > W s, no i finally; also broitsio	historical
eng	couch		cwtsio		substitution	parry1923 p.245 §121	ME/NE; final tsh > ts(i); Bod.; cwtsho 'to crouch' Dem. Dial. (S. Wales)	historical
eng	clench		cleinsio		substitution	parry1923 p.245 §121	ME/NE; final tsh > s(i)	historical
eng	ostrich		estrys		substitution	parry1923 p.245 §121	ME/NE; final tsh > s	historical
eng	Goodrich		Gwdrys		substitution	parry1923 p.245 §121	ME/NE; final tsh > s	historical
eng	hatch		haits		substitution	parry1923 p.245 §121	ME/NE; final tsh > ts; form in WS	historical
eng	match		maits		substitution	parry1923 p.245 §121	ME/NE; final tsh > ts; form in WS	historical
eng	march		mars		substitution	parry1923 p.245 §121	ME/NE; final tsh > s	historical
eng	partridge (ME pertriche)		petris		substitution	parry1923 p.245 §121	ME; final tsh > s; also partris	historical
eng	parch		peirsio		substitution	parry1923 p.245 §121	ME/NE; final tsh > si before vowel	historical
eng	porch		ports		substitution	parry1923 p.245 §121	ME/NE; final tsh > ts; form in WS	historical
eng	torch		tors		substitution	parry1923 p.245 §121	ME/NE; final tsh > s	historical
eng	touch		twyts		substitution	parry1923 p.245 §121	ME/NE; final tsh > ts; twytsio 'to touch'	historical
eng	Sandwich		Sandwis		substitution	parry1923 p.245 §121	ME/NE; final tsh > s	historical
eng	badge		baeds		substitution	parry1923 p.245 §122	ME/NE; E final -g(e) (dzh) > W -s/-ds; form in WS	historical
eng	cage		caets		substitution	parry1923 p.245 §122	ME/NE; final dzh > ts/s; also caes	historical
eng	carriage		karias		substitution	parry1923 p.245 §122	ME/NE; final dzh > s; form in WS	historical
eng	college		colas		substitution	parry1923 p.245 §122	ME/NE; final dzh > s	historical
eng	voyage		veyads		substitution	parry1923 p.245 §122	ME/NE; final dzh > ds; form in WS	historical
eng	lineage		lines		substitution	parry1923 p.245 §122	ME/NE; final dzh > s	historical
eng	vantage		mantais		substitution	parry1923 p.245 §122	ME/NE; final dzh > s; cf. montesh Dem. Dial. (S. Wales)	historical
eng	mortgage		mortgaeds		substitution	parry1923 p.245 §122	ME/NE; final dzh > ds	historical
eng	horologe		orloes		substitution	parry1923 p.245 §122	ME; final dzh > s	historical
eng	page		paits		substitution	parry1923 p.245 §122	ME/NE; final dzh > ts; also payds	historical
eng	Penbridge		Penbrys		substitution	parry1923 p.245 §122	ME/NE; final dzh > s	historical
eng	pottage		potaes		substitution	parry1923 p.245 §122	ME; final dzh > s; also potes	historical
eng	purge		pwrtsio		substitution	parry1923 p.245 §122	ME/NE; final dzh > tsi before vowel	historical
eng	sage		saes		substitution	parry1923 p.245 §122	ME; final dzh > s; also saets	historical
eng	challenge		sialens		substitution	parry1923 p.245 §122	ME/NE; final dzh > s; sialensio 'to challenge'	historical
eng	siege		sis		substitution	parry1923 p.245 §122	ME; final dzh > s; also sits	historical
eng	outrage		wtres		substitution	parry1923 p.245 §122	ME; final dzh > s; wtreswr occurs	historical
eng	sponge		ysbwins		substitution	parry1923 p.245 §122	ME/NE; final dzh > s	historical
eng	scourge		ysgwrs		substitution	parry1923 p.245 §122	ME/NE; final dzh > s	historical
eng	branch		braens		substitution	parry1923 p.245 §123	ME/NE; E final sh/ch (=sh) > W s	historical
eng	brush		brws		substitution	parry1923 p.245 §123	ME/NE; final sh > s; brwysio 'to brush'	historical
eng	varnish		bernais		substitution	parry1923 p.245 §123	ME/NE; final sh > s	historical
eng	fresh		ffres		substitution	parry1923 p.245 §123	ME/NE; final sh > s; also ffrais	historical
eng	Rhenish (wine)		rainis		substitution	parry1923 p.246 §123	ME; final sh > s; ID 19	historical
eng	skirmish		ysgarmes		substitution	parry1923 p.246 §123	ME/NE; final sh > s	historical
eng	Spanish		Spaenis		substitution	parry1923 p.246 §123	ME/NE; final sh > s; also Sbanis	historical
eng	flash		fflach		substitution	parry1923 p.246 §123	ME/NE; E sh represented by W guttural spirant ch	historical
eng	lash		llach		substitution	parry1923 p.246 §123	ME/NE; E sh represented by W guttural spirant ch	historical
eng	grease		gresh		substitution	parry1923 p.246 §124	NE; W s > sh in dialect; S. Wales (Dem. Dial.)	historical
eng	box(-tree)		bocys		substitution	parry1923 p.246 §125	ME/NE; E final -x (ks) > W -cs	historical
eng	kex		cecysen		substitution	parry1923 p.246 §125	ME/NE; E final -x (ks) > W -cs, elements separated	historical
eng	pickaxe		picas		deletion	parry1923 p.246 §125	ME/NE; k element of -x lost	historical
eng	Bordeaux		Bwrdios		substitution	parry1923 p.246 §125	ME; borrowed while s still pronounced in E	historical
eng	Devereux		Defras		substitution	parry1923 p.246 §125	ME; borrowed while s still pronounced in E	historical
eng	button (ME bothum)		botwm		substitution	parry1923 p.246 §126	ME; final -n > -m; also bwtwn; ME had both	historical
eng	cotton		cotwm		substitution	parry1923 p.246 §126	ME/NE; final -n > -m	historical
eng	dragon		dragwm		substitution	parry1923 p.246 §126	ME/NE; final -n > -m; beside dragwn	historical
eng	latten		latwm		substitution	parry1923 p.246 §126	ME/NE; final -n > -m	historical
eng	maintain		maentumio		substitution	parry1923 p.247 §126	ME/NE; final -n > -m	historical
eng	pattern		patrwm		substitution	parry1923 p.247 §126	ME/NE; final -n > -m; also patrwn	historical
eng	reason		rheswm		substitution	parry1923 p.247 §126	ME/NE; final -n > -m	historical
eng	saffron		saffrwm		substitution	parry1923 p.247 §126	ME/NE; final -n > -m	historical
eng	baston		pastwm		substitution	parry1923 p.247 §126	ME/NE; final -n > -m; N. Wales (Carns. dial.); cf. pastwn	historical
eng	stallion		stalwm		substitution	parry1923 p.247 §126	NE; final -n > -m; N. Wales (Carns. dial.)	historical
eng	engine		injam		substitution	parry1923 p.247 §126	NE; final -n > -m; Merioneth	historical
eng	Durham		Duran		substitution	parry1923 p.246 §126	ME/NE; opposite change, final -m > -n; LGC 357	historical
eng	bowline		bowling		substitution	parry1923 p.247 §126	ME/NE; final -n > -ng; form in WS	historical
eng	coffin		coffing		substitution	parry1923 p.247 §126	NE; final -n > -ng; S. Wales (parts of SW)	historical
eng	Catherine		Catring		substitution	parry1923 p.247 §126	ME/NE; final -n > -ng	historical
eng	dozen		dwsing		substitution	parry1923 p.247 §126	ME/NE; final -n > -ng	historical
eng	florin		ffloring		substitution	parry1923 p.247 §126	ME/NE; final -n > -ng; E had floring in C15; also fflwring	historical
eng	raisin(s)		rhesing		substitution	parry1923 p.247 §126	ME/NE; final -n > -ng	historical
eng	skein		scaing		substitution	parry1923 p.247 §126	NE; final -n > -ng; S. Wales (Dem. Dial.)	historical
eng	inn		ring		substitution	parry1923 p.247 §126	NE; final -n > -ng, from yr ing; N. Wales (Carns.)	historical
eng	coney (E conyng)		cwning		substitution	parry1923 p.248 §127	ME; E final -ng > W simple nasal guttural	historical
eng	soldering		sawdring		substitution	parry1923 p.248 §127	ME/NE; E final -ng > W -ng	historical
eng	pudding		pwding		substitution	parry1923 p.248 §127	ME/NE; E final -ng > W -ng	historical
eng	dubbing		dwbin		substitution	parry1923 p.248 §127	ME/NE; E final -ng > W -n	historical
eng	pudding		pwdin		substitution	parry1923 p.248 §127	ME/NE; E final -ng > W -n	historical
eng	fairing		fferin		substitution	parry1923 p.248 §127	NE; E final -ng > W -n; plur. fferins, fferineu	historical
eng	draught (ME draht, draght)		dracht		none	parry1923 p.249 §128	ME; guttural spirant preserved as W ch; early borrowing	historical
eng	flight		fflicht		none	parry1923 p.249 §128	ME; guttural spirant preserved as W ch; form in WS; also fflichd, ffleicht	historical
eng	slaughter		slachtar		none	parry1923 p.249 §128	ME/NE; guttural preserved; S. Wales (S. Cards.), sense 'mess'	historical
eng	corner		cornel		substitution	parry1923 p.249 §129	ME/NE; final -r > -l by dissimilation r...r > r...l	historical
eng	dresser		dresal		substitution	parry1923 p.249 §129	NE; final -r > -l; N. Wales (Carns.)	historical
eng	razor		rasal		substitution	parry1923 p.249 §129	NE; final -r > -l; N. Wales (Carns.)	historical
eng	sulphur		syffal		substitution	parry1923 p.249 §129	NE; final -r > -l; form in FC	historical
eng	dulcimer		dwsmel		substitution	parry1923 p.249 §129	ME/NE; final -r > -l	historical
eng	colonel		cornor		substitution	parry1923 p.249 §129	ME/NE; final -l > -r	historical
eng	false		ffalst		epenthesis	parry1923 p.249 §130	ME/NE; addition of final t after -s	historical
eng	fierce		ffirst		epenthesis	parry1923 p.249 §130	NE; addition of final t after -s; S. Wales (Dem. Dial.)	historical
eng	pendice, pentice		pendist		epenthesis	parry1923 p.249 §130	ME/NE; addition of final t after -s	historical
eng	truce		triwst		epenthesis	parry1923 p.249 §130	NE; addition of final t after -s; N. Wales (Carns.)	historical
eng	griffon		gryffwnt		epenthesis	parry1923 p.249 §130	ME/NE; addition of final t after -n	historical
eng	Simon		Simwnt		epenthesis	parry1923 p.249 §130	ME; addition of final t after -n; RBB 378	historical
eng	Stephen		Ystyphant		epenthesis	parry1923 p.249 §130	ME; addition of final t after -n	historical
eng	hetchell		heisyllt		epenthesis	parry1923 p.249 §130	ME/NE; addition of final t after -ll; form in WS	historical
eng	ton		tunnallt		epenthesis	parry1923 p.250 §130	NE; addition of final t after -ll; N. Wales (Carns.); cf. tunnell	historical
eng	telegraph		teligrafft		epenthesis	parry1923 p.250 §130	NE; epithetic t after -ff; N. Wales (Carns.)	historical
eng	shelf		silfft		epenthesis	parry1923 p.250 §130	NE; epithetic t after -ff; N. Wales (Carns.)	historical
eng	quaff		cwaffto		epenthesis	parry1923 p.250 §130	ME/NE; epithetic t after -ff; Bod. gives cofftio	historical
eng	damask		damasgl		epenthesis	parry1923 p.250 §130	ME/NE; addition of final l after -sg	historical
eng	whim		chwimp		epenthesis	parry1923 p.250 §130	ME/NE; addition of final p after -m	historical
eng	sum		swmp		epenthesis	parry1923 p.250 §130	ME/NE; addition of final p after -m	historical
eng	vizor		miswrn		epenthesis	parry1923 p.250 §130	ME/NE; addition of final n after -r	historical
eng	mazer		masarn		epenthesis	parry1923 p.250 §130	ME/NE; addition of final n after -r	historical
eng	pincers		pinshwrn		epenthesis	parry1923 p.250 §130	NE; addition of final n after -r; S. Wales (Dem. Dial.)	historical
eng	trencher		trenshwrn		epenthesis	parry1923 p.250 §130	NE; addition of final n after -r; S. Wales (Dem. Dial.); cf. treinsiwr	historical
eng	scissors		siswrn		epenthesis	parry1923 p.250 §130	ME/NE; addition of final n after -r	historical
eng	trespass		trespans		epenthesis	parry1923 p.250 §130	ME/NE; intrusive n before final s	historical
eng	relish		relins		epenthesis	parry1923 p.250 §130	NE; intrusive n before final s; N. Wales (Carns.)	historical
eng	carriage		carains		epenthesis	parry1923 p.250 §130	NE; intrusive n before final s; N. Wales (Carns.)	historical
eng	radish		redins		epenthesis	parry1923 p.250 §130	NE; intrusive n before final s; N. Wales (Carns.)	historical
eng	tabour		tabwrdd		epenthesis	parry1923 p.250 §130	ME/NE; dd added, ? by association with bwrdd 'board'	historical
eng	herald (ME herode, herand)		herodr		epenthesis	parry1923 p.250 §130	ME; epithetic r	historical
eng	Lincoln		Lincol		deletion	parry1923 p.251 §131	ME/NE; loss of final consonant	historical
eng	constable		kwnstab		deletion	parry1923 p.251 §131	ME/NE; loss of final -l group	historical
eng	arbalest		albras		deletion	parry1923 p.251 §131	ME; loss of final -t; also albrys	historical
eng	tabard		tabar		deletion	parry1923 p.251 §131	ME; loss of final -d	historical
eng	mustard		mwstar		deletion	parry1923 p.251 §131	ME/NE; loss of final -d	historical
eng	garter(s)		gardas		deletion	parry1923 p.251 §131	ME/NE; loss of final -r	historical
eng	whipping-post		chwipinpost		deletion	parry1923 p.251 §131	NE; loss of g in -ng	historical
eng	vinegar		fineg		deletion	parry1923 p.251 §131	ME; loss of final -ar	historical
eng	friends		ffryns		deletion	parry1923 p.251 §131	ME/NE; loss of d in final group	historical
eng	blinds		bleins		deletion	parry1923 p.251 §131	ME/NE; loss of d in final group	historical
eng	washboards		wasbws		deletion	parry1923 p.251 §131	ME/NE; loss of final group	historical
eng	orange		oraits		deletion	parry1923 p.251 §131	ME/NE; n dropped before -s	historical
eng	Lawrence		Lowres		deletion	parry1923 p.251 §131	ME; n dropped before -s; form in WS	historical
eng	Baptist		Batis		deletion	parry1923 p.251 §131	NE; final t often dropped in colloquial speech	historical
eng	Methodist		Methodis		deletion	parry1923 p.251 §131	NE; final t dropped colloquially; also Methadis; sing. Methodsyn in Cards. (S. Wales)	historical
eng	bloman		blowmon		vowel	parry1923 p.51 §7	unstressed ME a in -man compound > W o; ME period	historical
eng	England		Englont		vowel	parry1923 p.51 §7	unstressed a>o; ME/pre-15th c. borrowing implied	historical
eng	garland		gerlont		vowel	parry1923 p.51 §7	unstressed a>o, ME gerelond/garlond(e)	historical
