orthography	oi_nom	oi_gen	stem	gender	status	kind	source	note
Gaelach					none	late	https://en.wiktionary.org/wiki/Gaelach	formed in Irish from Gael + -ach; not itself an attested OI word (Gael ultimately from OI Goídel, but the -ach adjective is a later coinage)
gaiscíoch	gaiscedach	gaiscedaig	o	m	middle		https://en.wiktionary.org/wiki/gaiscedach#Middle_Irish	Middle Irish only; no Old Irish attestation found (harvest log, unresolved); Middle Irish noun m, gen gaiscedaig (o by the -ach/-aig genitive shown, class not stated); from Old Irish gaisced + -ach
gar-	gar				attested		https://en.wiktionary.org/wiki/gar	no nominal paradigm: prefix; prefix, not a noun; the prefix page's own etymology only derives gar- synchronically from Modern Irish gar; that base word gar is itself "From Old Irish gar ('short; near')"
garbh	garb				middle		https://en.wiktionary.org/wiki/garbh	no nominal paradigm: adjective; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Irish entry's etymology gives Middle Irish garb (DIL 25380), from Proto-Celtic *garwos; no Middle Irish garb lemma exists on Wiktionary
gasúr					none	loan	https://en.wiktionary.org/wiki/gas%C3%BAr	loanword: modification of garsún < Anglo-Norman garçun, altered under influence of native "gas" (lad); post-OI borrowing, no OI ancestor
geal	gel		o		attested		https://en.wiktionary.org/wiki/geal	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
gealbhan	gelbann				attested		https://en.wiktionary.org/wiki/gealbhan ; https://en.wiktionary.org/wiki/gealbhonn	unattested: stem class not shown in sources consulted; OI gelbann "sparrow" attested unstarred in etymology of gealbhan and Sc. Gaelic gealbhonn; no dedicated OI Wiktionary entry exists so genitive/stem/gender unattested in sources consulted
gearr	gerr				middle		https://en.wiktionary.org/wiki/gerr#Middle_Irish	no nominal paradigm: adjective; Middle Irish only; no Old Irish attestation found (harvest log, unresolved); Middle Irish adjective "short" (DIL 25748), from Proto-Celtic *gerros
geata					none	loan	https://en.wiktionary.org/wiki/geata	loan via Middle English ȝeat < Old English ġeat; enters Irish only as reconstructed/asterisked Middle Irish *geta; post-OI period, no OI ancestor
Giolla	gilla		indecl	m	attested		https://en.wiktionary.org/wiki/gilla ; https://en.wikipedia.org/wiki/Mac_Giolla_Ph%C3%A1draig_dynasty	indecl by decision (plan Task 3): formation element; the Middle Irish Wiktionary lemma gives gender m, plural gillai, no singular declension table; name-formation element. CONFLICT: Wiktionary labels the lemma gilla MIDDLE Irish, not Old Irish; the element is nevertheless shown inside the Old Irish name Gilla Pátraic on the second cited page. Genitive and stem class unattested in sources consulted
Giolla Pádraig	Gilla Pátraic		indecl	m	attested		https://en.wikipedia.org/wiki/Mac_Giolla_Ph%C3%A1draig_dynasty	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; the cited article gives the dynastic form "Mac Gilla Pátraic", from which the underlying personal name Gilla Pátraic is taken; no genitive shown
Giolla Íosa	Gilla Isa		indecl	m	attested		https://en.wikipedia.org/wiki/Giolla_%C3%8Dosa_Mac_Fir_Bisigh	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; article body and the Annals of Connacht quotation both use the older spelling "Gilla Isa" (page title uses modernized "Giolla Íosa"); no genitive shown
glas	glas		o		attested		https://en.wiktionary.org/wiki/glas	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement (also a separate OI noun "glas" (lock/fetter), masc/fem o-stem)
glúin	glún	glúne	s	n	attested		https://en.wiktionary.org/wiki/gl%C3%BAn#Old_Irish ; https://en.wiktionary.org/wiki/gl%C3%BAin	real class: neuter s-stem; alt gen glúnae
gorm	gorm				attested		https://en.wiktionary.org/wiki/gorm	no nominal paradigm: adjective; adjective; no dedicated OI entry page on Wiktionary, form cited only in the Irish etymology section ("From Old Irish gorm"), so stem class not given
grian	grían	gréine	ā	f	attested		https://en.wiktionary.org/wiki/gr%C3%ADan#Old_Irish	fem ā-stem "sun"
guth	guth	gotho	u	m	attested		https://en.wiktionary.org/wiki/guth#Old_Irish	masculine u-stem; alt gen gotha also attested
guí	guide	guide	ā	f	attested		https://en.wiktionary.org/wiki/guide	paradigm word: iā-stem feminine (mapped to ā); genitive singular is identical to nominative, "guide" (verbal noun of guidid); hint gave no genitive to compare
iarann	íarn	íairn	o	n	attested		https://en.wiktionary.org/wiki/%C3%ADarn#Old_Irish	gender given as n or m; alt genitive éirn also given; has separate disyllabic/monosyllabic o-stem declensions depending on gender
iasc	íasc	éisc	o	m	attested		https://en.wiktionary.org/wiki/%C3%ADasc#Old_Irish ; https://en.wiktionary.org/wiki/iasc	masculine o-stem
inion	ingen	ingine	ā	f	attested		https://en.wiktionary.org/wiki/ingen	name-formation element
iolar	irar	irair	o	m	attested		https://en.wiktionary.org/wiki/irar#Old_Irish	masc o-stem
lag	lac				attested		https://en.wiktionary.org/wiki/lag	no nominal paradigm: adjective; adjective; no declension table given on Wiktionary so stem class not confirmable there
lag-	lac				attested		https://en.wiktionary.org/wiki/lag-	no nominal paradigm: prefix; prefix, not a noun; the prefix page's own etymology only derives lag- synchronically from Modern Irish lag; that base word lag is itself "From Old Irish lac ('weak')"
laoch	láech	laích	o	m	attested		https://en.wiktionary.org/wiki/l%C3%A1ech#Old_Irish	borrowed from Late Latin lāicus
Laoghaire	Lóegaire	Lóegaire	o	m	attested		digest §10.6 ; https://en.wiktionary.org/wiki/L%C3%B3egaire#Old_Irish	Old Irish entry: masculine io-stem (mapped to o), genitive Lóegaire (= nominative)
lasair	lassar	lasrae	ā	f	attested		https://en.wiktionary.org/wiki/lassar#Old_Irish ; https://en.wiktionary.org/wiki/lasair	OI lassar "flame" < Proto-Celtic *laxsaros; fem ā-stem
leabhar	lebor	libair	o	m	attested		https://en.wiktionary.org/wiki/lebor#Old_Irish ; https://en.wiktionary.org/wiki/leabhar	OI lebor itself a loan < Latin liber; alt gen forms libuir/liubair also cited
leanbh	lenab	lenaib	o	m	attested		https://en.wiktionary.org/wiki/lenab#Old_Irish ; https://en.wiktionary.org/wiki/leanbh	masculine o-stem
leath	leth	leithe	s	n	attested		https://en.wiktionary.org/wiki/leth#Old_Irish	name-formation element (Dub dá Leithe 'black of two sides'); neuter, declined both as an o-stem (gen leith) and as an s-stem (gen leithe) on the cited page; s chosen because the compound shows leithe
leisciúil					none	late	https://en.wiktionary.org/wiki/leisciúil	later Irish formation: leisce + -úil, not from an OI ancestor
Liadain	Líadain	Líadaine	ā	f	attested		digest §10.6 ; https://en.wiktionary.org/wiki/L%C3%ADadain#Old_Irish	Old Irish entry: feminine ī-stem (sga-decl-ih), mapped to ā; genitive Líadaine
loch	loch	locho	u	n	attested		https://en.wiktionary.org/wiki/loch#Old_Irish	gender given as n or m; alt genitive locha also given
Lochlann	Lothland	Lothlainde	ā	f	attested		https://en.wiktionary.org/wiki/Lochlann ; https://en.wiktionary.org/wiki/Lothland	OI ancestor is the place name "Scandinavia" (grammatically feminine); modern Lochlann is a masculine personal name derived from it
long	long	lungae	ā	f	attested		https://en.wiktionary.org/wiki/long#Old_Irish	feminine ā-stem; OI word's own etymology disputed (possible Latin (navis) longa loan vs native Proto-Celtic *longā) but form itself is attested native OI vocabulary
luath	lúath		o		attested		https://en.wiktionary.org/wiki/luath	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
Lugh	Lug	Loga	u	m	attested		https://en.wiktionary.org/wiki/Lugh ; https://en.wiktionary.org/wiki/Lug	genitive also spelled Logo
Lughaidh	Lugaid	Luigdech	velar	m	attested		https://en.wiktionary.org/wiki/Lugaid	paradigm word: true class k-stem/velar-final noun, matches hint's "velar stem m" exactly (genitive Luigdech)
láidir	láitir		i		attested		https://en.wiktionary.org/wiki/láidir	no nominal paradigm: adjective; adjective, i-stem class; inflects by agreement
lámh	lám	láme	ā	f	attested		https://en.wiktionary.org/wiki/l%C3%A1m#Old_Irish	alt genitives láime, lámae
mac	macc	maicc	o	m	attested		https://en.wiktionary.org/wiki/macc#Old_Irish ; https://en.wiktionary.org/wiki/mac	masculine o-stem; alt gen meicc
madra	madrad			m	attested		https://en.wiktionary.org/wiki/madra	unattested: stem class not shown in sources consulted; gender m from the Middle Irish madrad entry; the Irish entry's etymology names Old Irish madrad, matrad, but the dedicated Wiktionary entry for madrad is categorised Middle Irish — CONFLICT recorded, form kept on the etymology citation; genitive and stem class unattested in sources consulted
maith	maith		i		attested		https://en.wiktionary.org/wiki/maith	no nominal paradigm: adjective; adjective, i-stem class; suppletive comparative ferr, superlative dech
mall	mall		o		attested		https://en.wiktionary.org/wiki/mall	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
Maol	máel	maíle	ā	f	attested		https://en.wiktionary.org/wiki/m%C3%A1el	name-formation element; noun sense 'shaved head/bare object' is ā-stem f (gen maíle, nom pl máela); the adjective 'bald,tonsured,shorn' used in front of saints' names (Máel Coluim etc) is a mixed o/ā-stem agreeing with the head noun, not reducible to one stem class
Maol Coluim	Máel Coluim		indecl	m	attested		https://en.wikipedia.org/wiki/M%C3%A1el_Coluim_I,_Earl_of_Fife	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; article gives "Máel Coluim" explicitly as the Old Irish spelling, anglicised Malcolm; no genitive form was shown on this page
Maol Muire	Máel Muire		indecl		attested		https://en.wikipedia.org/wiki/M%C3%A1el_Muire	unattested: gender — the cited page calls the name unisex; fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name, "devotee of Mary"; the cited page treats Máel Muire as UNISEX (borne by women too), so gender is left blank rather than m; no genitive shown on this page
Maol Seachlainn	Máel Sechnaill		indecl	m	attested		https://en.wikipedia.org/wiki/M%C3%A1el_Sechnaill	fixed formation, not a paradigm; inflects to itself (indecl, O-21); built from element rows; attested compound name; "devotee of St Sechnall"; no genitive shown
mic	maicc	maicc	o	m	attested		https://en.wiktionary.org/wiki/mic ; https://en.wiktionary.org/wiki/macc#Old_Irish	inflected form (voc/gen sg, also nom pl) of lemma OI macc "son", masc o-stem; key is an inflected form; alt spelling maic/meic also attested
milis	milis		i		attested		https://en.wiktionary.org/wiki/milis	no nominal paradigm: adjective; adjective, i-stem class; inflects by agreement
Miliucc	Miliucc	Milcon	n	m	attested		digest §10.6	n-stem; no modern reflex, key = OI form
mná	mná	mná	irregular	f	attested		https://en.wiktionary.org/wiki/mn%C3%A1 ; https://en.wiktionary.org/wiki/ben#Old_Irish	inflected form (gen sg / nom-voc-acc pl) of lemma OI ben "woman", irregular suppletive feminine declension; key is an inflected form, not the OI lemma
Morann	Morann	Morainn		m	attested		digest §10.6	unattested: stem class not shown in sources consulted; genitive Morainn shows a palatalized final (o-stem pattern) but the class is not stated
muc	mucc	muicce	ā	f	attested		https://en.wiktionary.org/wiki/mucc#Old_Irish	fem ā-stem
muileann	muilenn			m	attested		https://en.wiktionary.org/wiki/muileann	unattested: stem class not shown in sources consulted; OI muilenn is a Wiktionary redlink (no dedicated entry exists); gender m given in etymology gloss; genitive/stem unattested in sources consulted; borrowed from Late Latin molinum
muintir	muinter	muintire	ā	f	attested		https://en.wiktionary.org/wiki/muinter#Old_Irish	fem ā-stem; modern muintir originally the dative singular
muir	muir	moro	i	n	attested		https://en.wiktionary.org/wiki/muir#Old_Irish	neuter i-stem; gen sg also attested as "mora" (confirmed directly from declension table)
Muir-	muir	moro	i	n	attested		https://en.wiktionary.org/wiki/muir	name-formation element; neuter i-stem, gen moro or mora
Muircheartach	Muirchertach		indecl	m	attested		https://en.wikipedia.org/wiki/Muirchertach	indecl by decision (plan Task 3): whole-name row with no Old Irish lemma or declension found (Wiktionary has no Muirchertach page, 2026-08-27); genitive unattested in sources consulted; real class not determined (no Wiktionary OI lemma found); Wikipedia name-article gives Muirchertach as base/older form
Muireann	Muirenn			f	attested		https://en.wikipedia.org/wiki/Muireann	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted
Mumhain	Mumu	Mumen	n	f	attested		digest §10.6 ; strachan1909 p.15	n-stem; alternative genitive Muman
Máire	Maire			f	attested		https://en.wiktionary.org/wiki/Muire	unattested: stem class not shown in sources consulted; Muire's Wiktionary etymology states "From Old Irish Maire, from Latin Maria"; Máire itself is described as a doublet of Muire continuing the same Old Irish form; no declension table found, so genitive/stem unattested in sources consulted
máthair	máthir	máthar	r	f	attested		https://en.wiktionary.org/wiki/m%C3%A1thir#Old_Irish ; https://en.wiktionary.org/wiki/m%C3%A1thair	real class: feminine r-stem (kinship noun)
Méabh	Medb	Meidbe	ā	f	middle		https://en.wiktionary.org/wiki/Medb#Middle_Irish ; https://en.wikipedia.org/wiki/Medb	Middle Irish only; no Old Irish attestation found (harvest log, unresolved); Wiktionary labels Medb Middle Irish (f, gen Meidbe, acc/dat Meidb); ā by the palatalised -e genitive, class not stated. SOURCE CONFLICT: Wikipedia's Medb article says "In Old Irish her name is Medb" — kept in the middle tier per plan Task 4, owner may promote
mí	mí	mís	irregular	m	attested		https://en.wiktionary.org/wiki/m%C3%AD#Old_Irish	irregular root-noun declension; masc, gen mís
mín	mín		i		attested		https://en.wiktionary.org/wiki/mín	no nominal paradigm: adjective; adjective, i-stem class; inflects by agreement
mór	mór		o		attested		https://en.wiktionary.org/wiki/mór	no nominal paradigm: adjective; alternative attested spelling már. adjective, o/ā class; suppletive comparative mó/moü/moä/moö, superlative moäm
naofa					none	late	https://en.wiktionary.org/wiki/naofa	Irish formation: naomh + -tha; not itself an attested OI word
naoi	noí				attested		https://en.wiktionary.org/wiki/naoi	no nominal paradigm: numeral; numeral
naomh	noíb	noíb	o	m	attested		https://en.wiktionary.org/wiki/no%C3%ADb#Old_Irish ; https://en.wiktionary.org/wiki/naomh	OI noíb is an o/ā-stem adjective ("holy, sacred") nominalized to mean "saint"; masc gen sg identical in spelling to nom sg
nead	net	nit	o	m	attested		https://en.wiktionary.org/wiki/net#Old_Irish ; https://en.wiktionary.org/wiki/nead	masculine o-stem ("nest"); genitive corrected to nit in sample verification
neamh	nem	nime	s	n	attested		https://en.wiktionary.org/wiki/nem	paradigm word: true class s-stem neuter, matches hint exactly (genitive nime)
Neasa	Nessa	Nessa	ā	f	attested		digest §10.6 ; https://en.wikipedia.org/wiki/Ness_(Irish_mythology)	digest prints Nes(s)a (alternative spelling Nesa; Wikipedia: Old Irish Ness, also Nessa); genitive Nessa is the digest's own formation example Conchobar mac Nessa (§10.6); ā-stem (iā) per plan Task 3 / S23 — the class is not stated by a source, it is the class consistent with nom Nessa, gen Nessa
Niall	Níall	Néill	o	m	attested		https://en.wiktionary.org/wiki/N%C3%ADall	name-formation element
Niamh	ném				attested		https://en.wiktionary.org/wiki/Niamh	unattested: stem class not shown in sources consulted; corrected in the second verification pass: the harvest had mapped Niamh onto nem 'heaven, sky' (s-stem n, gen nime), but the cited etymology derives it from Old Irish ném 'lustre' via Middle Irish níam — a different lexeme with no Old Irish lemma page, so the s-stem genitive was not this word's; genitive unattested in sources consulted
nua	nuae		o		attested		https://en.wiktionary.org/wiki/nua	no nominal paradigm: adjective; adjective, io/iā class; inflects by agreement
Nuadha	Núadu	Núadat	dental	m	attested		https://en.wiktionary.org/wiki/N%C3%BAadu	paradigm word: t-stem (dental) masculine, matches hint exactly (genitive Núadat)
Nuala	Finnguala			f	attested		https://en.wiktionary.org/wiki/Nuala	unattested: stem class not shown in sources consulted; Nuala's etymology page states it is a shortened form "from Old Irish Finnguala, from find ('fair') + guala ('shoulder')"; no dedicated Old Irish declension page for Finnguala was found, so genitive/stem unattested in sources consulted
nós	nós				attested		https://en.wiktionary.org/wiki/n%C3%B3s	unattested: stem class not shown in sources consulted; two etymologies both from Old Irish nós; no dedicated OI entry on Wiktionary, genitive/stem/gender unattested in sources consulted
ocht	ocht				attested		https://en.wiktionary.org/wiki/ocht	no nominal paradigm: numeral; numeral
Odhrán	Odrán			m	attested		https://en.wiktionary.org/wiki/Odhr%C3%A1n	unattested: stem class not shown in sources consulted; explicit "from Old Irish Odrán"; genitive unattested
Oisín	Oisín			m	middle		https://en.wiktionary.org/wiki/ois%C3%ADn#Middle_Irish	unattested: stem class not shown; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Middle Irish common noun oisín "fawn" (m) lists the proper noun Oisín as a derived term; no Oisín lemma of its own
olc	olc		o		attested		https://en.wiktionary.org/wiki/olc	no nominal paradigm: adjective; adjective, o/ā class; suppletive comparative messa
oíche	adaig	aidche	ā	f	attested		https://en.wiktionary.org/wiki/adaig#Old_Irish ; https://en.wiktionary.org/wiki/o%C3%ADche	real class: feminine ī-stem, mapped to ā; modern oíche continues the OI oblique stem aidche, not nom sg adaig; alt gen aithche
peann	penn	peinne	ā	f	attested		https://en.wiktionary.org/wiki/penn#Old_Irish ; https://en.wiktionary.org/wiki/peann	OI penn itself a loan < Latin penna "feather"
portach					none	late	https://en.wiktionary.org/wiki/portach	from port (loan < Latin portus, well attested OI masc o-stem) + relational suffix -ach; the compound "portach" itself is not attested as an OI or MidIr form in Wiktionary's etymology or elsewhere consulted
Pádraig	Pátraic		indecl	m	attested		https://en.wikipedia.org/wiki/Saint_Patrick ; digest §10.5	Wikipedia: "the Latin name Pātricius evolved into Old Irish as Pátraic"; indeclinable per digest §10.5 (Patraic listed among the indeclinable nouns); distinct from the earlier-replaced Old Irish borrowing Cothraige; spelling Pátraic chosen over the digest's Patraic (plan Task 3, R31b)
Pátraic	Pátraic		indecl	m	attested		digest §10.5 ; digest §10.6	indeclinable (digest §10.5, wiki-old-irish-grammar Indeclinable nouns); keyed by the Old Irish form — the modern key Pádraig is a separate row; spelling unified to Pátraic with the fada (plan Task 3, R31b): the digest prints Patraic, Wikipedia and the Mac Gilla Pátraic article print Pátraic
rua	rúad		o		attested		https://en.wiktionary.org/wiki/rua	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
Ruairí	Ruaidrí	Ruadrach	velar	m	attested		https://en.wiktionary.org/wiki/Ruaidr%C3%AD	real class: g-stem (velar stem)
ráth	ráth	ráithe	ā	m	attested		https://en.wiktionary.org/wiki/r%C3%A1th#Old_Irish	etymology 2, earthen rampart/fort sense (matches modern placename usage); gender given as m or f, ā-stem
réalta	rétglu	rétglann	n	f	attested		https://en.wiktionary.org/wiki/r%C3%A9tglu#Old_Irish	fem n-stem; modern réalta < Middle Irish rétlu < OI rétglu
rí	rí	ríg	velar	m	attested		https://en.wiktionary.org/wiki/r%C3%AD#Old_Irish	real class is g-stem/velar-stem
rígain	rígain	rígnae	ā	f	attested		https://en.wiktionary.org/wiki/r%C3%ADgain	paradigm word: ī-stem feminine (mapped to ā); keyed by the Old Irish form — no single standard modern reflex. paradigm word: ī-stem feminine (mapped to ā), matches hint exactly
Rónán	Rónán	Rónáin		m	attested		digest §10.6	unattested: stem class not shown in sources consulted; stem class not stated in the digest; the genitive Rónáin shows a palatalized final (o-stem pattern). Wiktionary has no Old Irish entry for this name — the digest citation is what carries it
Sadhbh	Sadb			f	attested		https://en.wiktionary.org/wiki/Sadhbh	unattested: stem class not shown in sources consulted; explicit "from Middle Irish Sadb, from Old Irish Sadb"; genitive unattested
saibhir	saidbir		i		attested		https://en.wiktionary.org/wiki/saibhir	no nominal paradigm: adjective; adjective, i-stem class; inflects by agreement
saoi	suí	suad	dental	m	attested		https://en.wiktionary.org/wiki/su%C3%AD#Old_Irish ; https://en.wiktionary.org/wiki/saoi	dental stem (sga-decl-t&d) m, gen suad (page prints süad, hiatus mark dropped), nom pl suïd; "sage, scholar". Harvest listed this as unresolved (Middle Irish suí only); the Old Irish suí section exists and derives saoi via Middle Irish suí, so the row is attested, not middle (Task 4)
Saoirse					none	late	https://en.wiktionary.org/wiki/Saoirse	Modern personal name from the common noun "saoirse" ("freedom"); a later (20th-century) coinage as a given name, not attested as a personal name in Old Irish
saol	saegul	saeguil	o	m	attested		https://en.wiktionary.org/wiki/saegul#Old_Irish ; https://en.wiktionary.org/wiki/saol	OI saegul "lifetime, world" < Latin saeculum; masc o-stem
sciath	scíath	scéith	o	m	attested		https://en.wiktionary.org/wiki/sc%C3%ADath#Old_Irish	gender given as m or f
scéal	scél	scéuil	o	n	attested		https://en.wiktionary.org/wiki/sc%C3%A9l#Old_Irish ; https://en.wiktionary.org/wiki/sc%C3%A9al	neuter o-stem
seacht	secht				attested		https://en.wiktionary.org/wiki/seacht	no nominal paradigm: numeral; numeral
Seadanta	Sétanta			m	attested		digest §10.6	unattested: stem class not shown in sources consulted; genitive unattested in sources consulted
sean	sen		o		attested		https://en.wiktionary.org/wiki/sen	no nominal paradigm: adjective; adjective, o/ā class (sga-decl-adj-o-a template); comparative siniu, superlative sinem
searbh	serb		o		attested		https://en.wiktionary.org/wiki/searbh	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
seirbhís					none	loan	https://en.wiktionary.org/wiki/seirbh%C3%ADs	from Middle Irish seirbís < Latin servitium (via Old French servise); confirmed post-OI loan, no OI form attested
Seán					none	loan	https://en.wiktionary.org/wiki/Se%C3%A1n	Borrowed from Old French/Anglo-Norman Jehan < Latin Iohannes; postdates Old Irish period, doublet of Eoin
Siobhán					none	loan	https://en.wiktionary.org/wiki/Siobh%C3%A1n	From earlier Sibán < Anglo-Norman Jehane/Jehanne; Sibán is a post-Old-Irish (Norman-period) form, not itself Old Irish
sionnach	sinnach	sinnaig	o	m	attested		https://en.wiktionary.org/wiki/sinnach#Old_Irish	masc o-stem
sliabh	slíab	sléibe	s	n	attested		https://en.wiktionary.org/wiki/sl%C3%ADab#Old_Irish ; https://en.wiktionary.org/wiki/sliabh	real class is s-stem (neuter); alt gen slébe also attested
sluagh	slóg	slóig	o	m	attested		https://en.wiktionary.org/wiki/sl%C3%B3g#Old_Irish	modern sluagh (superseded spelling of slua) < Middle Irish slúag < OI slóg
sméar	smér				middle		https://en.wiktionary.org/wiki/sm%C3%A9ar	unattested: gender and stem class not shown; Middle Irish only; no Old Irish attestation found (harvest log, unresolved). The Irish entry's etymology gives Middle Irish smér (DIL 38041), from Proto-Celtic *smiyoros; no smér lemma exists on Wiktionary
sneachta	snechtae	snechtai	o	m	attested		https://en.wiktionary.org/wiki/snechtae#Old_Irish ; https://en.wiktionary.org/wiki/sneachta	real class: masculine io-stem, mapped to o per convention
snámh	snám	snáma	u	m	attested		https://en.wiktionary.org/wiki/snámh	noun, masculine u-stem; verbal noun of OI snaïd "swims"
Sorcha	sorchae			f	attested		https://en.wiktionary.org/wiki/Sorcha ; https://en.wiktionary.org/wiki/sorchae	unattested: stem class not shown in sources consulted; OI "sorchae" is an adjective ("bright, luminous"); stem class not given on its Wiktionary page, so left empty; gender assigned as f matching the feminine given name usage, not independently confirmed for the adjective
speal					none	loan	https://en.wiktionary.org/wiki/speal	from Middle Irish spelaid, per DIL from Middle English "pelen"; confirmed loan, no OI ancestor
spraoi					none	loan	https://en.wiktionary.org/wiki/spraoi	borrowed directly from Old Norse sprækr/sprakr ("lively, vigorous"); no Middle/Old Irish stage shown, confirmed loan
srón	srón	sróine	ā	f	attested		https://en.wiktionary.org/wiki/sr%C3%B3n#Old_Irish	
sé	sé				attested		https://en.wiktionary.org/wiki/sé	no nominal paradigm: numeral; numeral
Séamus					none	loan	https://en.wiktionary.org/wiki/S%C3%A9amas	Séamas/Séamus "Borrowed from English James" < Old French < Vulgar Latin Iacomus < Hebrew; no Old Irish path (distinct from the older doublet Iacób)
súil	súil	súlo	i	f	attested		https://en.wiktionary.org/wiki/s%C3%BAil#Old_Irish ; https://en.wiktionary.org/wiki/s%C3%BAil	feminine i-stem; alt gen súla
Tadhg	Tadg			m	middle		https://en.wiktionary.org/wiki/Tadg#Middle_Irish	unattested: stem class not shown (Middle Irish proper noun, m, no inflection table); Middle Irish only; no Old Irish attestation found (harvest log, unresolved)
Tailtiu	Tailltiu	Taillten	n	f	attested		digest §10.6	n-stem
talamh	talam	talman	n	m	attested		https://en.wiktionary.org/wiki/talam#Old_Irish	masc n-stem
taoiseach	toísech	toísig	o	m	attested		https://en.wiktionary.org/wiki/to%C3%ADsech#Old_Irish ; https://en.wiktionary.org/wiki/taoiseach	masc o-stem "leader"
teach	tech	taige	s	n	attested		https://en.wiktionary.org/wiki/tech#Old_Irish ; https://en.wiktionary.org/wiki/teach	real class: neuter s-stem
tine	teine	teined	dental	m	attested		https://en.wiktionary.org/wiki/teine#Old_Irish	masc t-stem, mapped to dental per instructions
tobac					none	loan	https://en.wiktionary.org/wiki/tobac	borrowed via French tabac < Spanish tabaco; definitively post-OI, confirmed loan
trom	trom		o		attested		https://en.wiktionary.org/wiki/trom	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
tréan	trén		o		attested		https://en.wiktionary.org/wiki/tréan	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
trí	trí				attested		https://en.wiktionary.org/wiki/trí	no nominal paradigm: numeral; numeral
tuath	túath	túaithe	ā	f	attested		https://en.wiktionary.org/wiki/t%C3%BAath#Old_Irish ; https://en.wiktionary.org/wiki/tuath	feminine ā-stem
Tuathal	Túathal			m	attested		https://en.wikipedia.org/wiki/Tuathal_Techtmar	unattested: stem class not shown in sources consulted; explicit "(Old Irish: ...)" IPA label; genitive unattested
téarma					none	loan	https://en.wiktionary.org/wiki/t%C3%A9arma	borrowed from Middle English terme < Old French terme < Latin terminus; confirmed loan, no OI ancestor
tír	tír	tíre	s	n	attested		https://en.wiktionary.org/wiki/t%C3%ADr#Old_Irish	real class is s-stem (neuter), mapped to irregular per instructions
ua	aue	aui	o	m	attested		https://en.wiktionary.org/wiki/aue#Old_Irish ; https://en.wiktionary.org/wiki/ua	name-formation element; corrected in the second verification pass: the modern page derives ua from Old Irish aue (io-stem m, mapped to o; gen aui, alt ui), so oi_nom 'ua' was a modern/Middle Irish form, not the Old Irish one; nom pl ui; the page labels modern ua an archaic form of ó
uasal	úasal		o		attested		https://en.wiktionary.org/wiki/uasal	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
uisce	uisce	uisci	o	m	attested		https://en.wiktionary.org/wiki/uisce#Old_Irish	real class is io-stem, mapped to o
Ulaidh	Ulaid	Ulad	o	m	attested		digest §10.6 ; https://en.wiktionary.org/wiki/Ulaid#Old_Irish	ethnonym, plural-only masculine o-stem (Wiktionary: proper noun m-p, class o-m); oi_gen is the genitive plural Ulad
Éadaoin	Étaín			f	attested		https://en.wiktionary.org/wiki/%C3%89adaoin	unattested: stem class not shown in sources consulted; genitive unattested; gender inferred (Étaín, mythological heroine)
éadrom	étrum		o		attested		https://en.wiktionary.org/wiki/éadrom	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement
éan	én	éuin	o	m	attested		https://en.wiktionary.org/wiki/%C3%A9n#Old_Irish ; https://en.wiktionary.org/wiki/%C3%A9an	masculine o-stem; alt gen éoin
Éimhear	Emer			f	attested		https://en.wiktionary.org/wiki/Emer	unattested: stem class not shown in sources consulted; genitive unattested; gender inferred (Emer, wife of Cú Chulainn)
Éire	Ériu	Érenn	n	f	attested		https://en.wiktionary.org/wiki/%C3%89riu	paradigm word: n-stem feminine, matches hint exactly (genitive Érenn)
Íde	Íte			f	attested		https://en.wikipedia.org/wiki/Ite_of_Killeedy	unattested: stem class not shown in sources consulted; genitive unattested; also known as Íde, Ita, Ida, Ides per article
óg	óc		o		attested		https://en.wiktionary.org/wiki/óg	no nominal paradigm: adjective; adjective, o/ā class; comparative óa, superlative óam
ór	ór	óir	o	n	attested		https://en.wiktionary.org/wiki/%C3%B3r#Old_Irish	borrowed from Latin aurum
